table_schema	table_name	column_name	ordinal_position
information_schema	CHARACTER_SETS	CHARACTER_SET_NAME	1
information_schema	CHARACTER_SETS	DEFAULT_COLLATE_NAME	2
information_schema	CHARACTER_SETS	DESCRIPTION	3
information_schema	CHARACTER_SETS	MAXLEN	4
information_schema	COLLATIONS	COLLATION_NAME	1
information_schema	COLLATIONS	CHARACTER_SET_NAME	2
information_schema	COLLATIONS	ID	3
information_schema	COLLATIONS	IS_DEFAULT	4
information_schema	COLLATIONS	IS_COMPILED	5
information_schema	COLLATIONS	SORTLEN	6
information_schema	COLLATION_CHARACTER_SET_APPLICABILITY	COLLATION_NAME	1
information_schema	COLLATION_CHARACTER_SET_APPLICABILITY	CHARACTER_SET_NAME	2
information_schema	COLUMNS	TABLE_CATALOG	1
information_schema	COLUMNS	TABLE_SCHEMA	2
information_schema	COLUMNS	TABLE_NAME	3
information_schema	COLUMNS	COLUMN_NAME	4
information_schema	COLUMNS	ORDINAL_POSITION	5
information_schema	COLUMNS	COLUMN_DEFAULT	6
information_schema	COLUMNS	IS_NULLABLE	7
information_schema	COLUMNS	DATA_TYPE	8
information_schema	COLUMNS	CHARACTER_MAXIMUM_LENGTH	9
information_schema	COLUMNS	CHARACTER_OCTET_LENGTH	10
information_schema	COLUMNS	NUMERIC_PRECISION	11
information_schema	COLUMNS	NUMERIC_SCALE	12
information_schema	COLUMNS	DATETIME_PRECISION	13
information_schema	COLUMNS	CHARACTER_SET_NAME	14
information_schema	COLUMNS	COLLATION_NAME	15
information_schema	COLUMNS	COLUMN_TYPE	16
information_schema	COLUMNS	COLUMN_KEY	17
information_schema	COLUMNS	EXTRA	18
information_schema	COLUMNS	PRIVILEGES	19
information_schema	COLUMNS	COLUMN_COMMENT	20
information_schema	COLUMN_PRIVILEGES	GRANTEE	1
information_schema	COLUMN_PRIVILEGES	TABLE_CATALOG	2
information_schema	COLUMN_PRIVILEGES	TABLE_SCHEMA	3
information_schema	COLUMN_PRIVILEGES	TABLE_NAME	4
information_schema	COLUMN_PRIVILEGES	COLUMN_NAME	5
information_schema	COLUMN_PRIVILEGES	PRIVILEGE_TYPE	6
information_schema	COLUMN_PRIVILEGES	IS_GRANTABLE	7
information_schema	ENGINES	ENGINE	1
information_schema	ENGINES	SUPPORT	2
information_schema	ENGINES	COMMENT	3
information_schema	ENGINES	TRANSACTIONS	4
information_schema	ENGINES	XA	5
information_schema	ENGINES	SAVEPOINTS	6
information_schema	EVENTS	EVENT_CATALOG	1
information_schema	EVENTS	EVENT_SCHEMA	2
information_schema	EVENTS	EVENT_NAME	3
information_schema	EVENTS	DEFINER	4
information_schema	EVENTS	TIME_ZONE	5
information_schema	EVENTS	EVENT_BODY	6
information_schema	EVENTS	EVENT_DEFINITION	7
information_schema	EVENTS	EVENT_TYPE	8
information_schema	EVENTS	EXECUTE_AT	9
information_schema	EVENTS	INTERVAL_VALUE	10
information_schema	EVENTS	INTERVAL_FIELD	11
information_schema	EVENTS	SQL_MODE	12
information_schema	EVENTS	STARTS	13
information_schema	EVENTS	ENDS	14
information_schema	EVENTS	STATUS	15
information_schema	EVENTS	ON_COMPLETION	16
information_schema	EVENTS	CREATED	17
information_schema	EVENTS	LAST_ALTERED	18
information_schema	EVENTS	LAST_EXECUTED	19
information_schema	EVENTS	EVENT_COMMENT	20
information_schema	EVENTS	ORIGINATOR	21
information_schema	EVENTS	CHARACTER_SET_CLIENT	22
information_schema	EVENTS	COLLATION_CONNECTION	23
information_schema	EVENTS	DATABASE_COLLATION	24
information_schema	FILES	FILE_ID	1
information_schema	FILES	FILE_NAME	2
information_schema	FILES	FILE_TYPE	3
information_schema	FILES	TABLESPACE_NAME	4
information_schema	FILES	TABLE_CATALOG	5
information_schema	FILES	TABLE_SCHEMA	6
information_schema	FILES	TABLE_NAME	7
information_schema	FILES	LOGFILE_GROUP_NAME	8
information_schema	FILES	LOGFILE_GROUP_NUMBER	9
information_schema	FILES	ENGINE	10
information_schema	FILES	FULLTEXT_KEYS	11
information_schema	FILES	DELETED_ROWS	12
information_schema	FILES	UPDATE_COUNT	13
information_schema	FILES	FREE_EXTENTS	14
information_schema	FILES	TOTAL_EXTENTS	15
information_schema	FILES	EXTENT_SIZE	16
information_schema	FILES	INITIAL_SIZE	17
information_schema	FILES	MAXIMUM_SIZE	18
information_schema	FILES	AUTOEXTEND_SIZE	19
information_schema	FILES	CREATION_TIME	20
information_schema	FILES	LAST_UPDATE_TIME	21
information_schema	FILES	LAST_ACCESS_TIME	22
information_schema	FILES	RECOVER_TIME	23
information_schema	FILES	TRANSACTION_COUNTER	24
