table_schema	table_name	column_name	ordinal_position
eaas_s4	ALPGroupUsersTemp	AssignedTechs	1
eaas_s4	ALPGroupUsersTemp	EmailAddress	2
eaas_s4	ALPGroupUsersTemp	TPM	4
eaas_s4	ALPGroupUsersTemp	liferayUserId	7
eaas_s4	AUDIT	ID	1
eaas_s4	AUDIT	CREATED_BY	2
eaas_s4	AUDIT	REQUEST_URL	3
eaas_s4	AUDIT	CREATED_DATE	4
eaas_s4	AUDIT	DESCRIPTION	6
eaas_s4	AUDIT	DEVICE_NAME	7
eaas_s4	cctDataCsv	External_Login_ID	2
eaas_s4	cctDataCsv	Country	4
eaas_s4	cctDataCsv	Program	5
eaas_s4	cctDataCsv	Candidate_Last_Name	6
eaas_s4	cctDataCsv	Certification_Completion_Date	8
eaas_s4	cctDataCsv	Certification_Expiration_Date	9
eaas_s4	cctDataCsv	Cisco_Consent_To_Share	10
eaas_s4	cctDataCsv	Status_Count	12
eaas_s4	ep_alp_notifications	elpId	2
eaas_s4	ep_alp_notifications_user_x	userId	1
eaas_s4	ep_alp_notifications_user_x	notifyUserOrNot	3
eaas_s4	ep_alp_notifications_user_x	notificationExpiredOrNot	4
eaas_s4	ep_batch	id	1
eaas_s4	ep_batch	batchKey	2
eaas_s4	ep_batch	stage	4
eaas_s4	ep_batch	startDateTime	5
eaas_s4	ep_batch	completedDateTime	6
eaas_s4	ep_batch	reasonText	7
eaas_s4	ep_batch	parameters	8
eaas_s4	ep_batch	reTrigger	9
eaas_s4	ep_category	id	1
eaas_s4	ep_category	tenantId	3
eaas_s4	ep_category	categoryName	4
eaas_s4	ep_category	parentCategoryId	5
eaas_s4	ep_category	key	6
eaas_s4	ep_category	isActive	7
eaas_s4	ep_category	displayOrder	9
eaas_s4	ep_country_theatre	COUNTRY	1
eaas_s4	ep_country_theatre	THEATRE_VAL	2
eaas_s4	ep_eaas_assets	id	1
eaas_s4	ep_eaas_assets	classNameId	2
eaas_s4	ep_eaas_assets	classPK	3
eaas_s4	ep_eaas_assets	viewCount	4
eaas_s4	ep_eaas_assets	createdByUserId	5
eaas_s4	ep_eaas_assets	lastModifiedUserName	9
eaas_s4	ep_eaas_social_config	id	1
eaas_s4	ep_eaas_social_config	tenantId	2
eaas_s4	ep_eaas_social_config	groupId	3
eaas_s4	ep_eaas_social_config	equityKey	4
eaas_s4	ep_eaas_social_config	informationEquity	7
eaas_s4	ep_eaas_social_config	createdByUserId	8
eaas_s4	ep_eaas_social_config	lastModifiedByUserId	10
eaas_s4	ep_eaas_social_config	lastModifiedDate	11
eaas_s4	ep_eaas_social_config	lastModifiedUserName	12
eaas_s4	ep_eaas_social_equity_history	id	1
eaas_s4	ep_eaas_social_equity_history	ep_user_id	2
eaas_s4	ep_eaas_social_equity_history	participationEquity	4
eaas_s4	ep_eaas_social_equity_history	informationEquity	5
eaas_s4	ep_eaas_social_equity_history	ep_eaas_assets_id	6
eaas_s4	ep_eaas_social_equity_history	createdByUserId	7
eaas_s4	ep_eaas_social_equity_history	lastModifiedByUserId	9
eaas_s4	ep_eaas_social_equity_history	lastModifiedDate	10
eaas_s4	ep_elp	elpId	1
eaas_s4	ep_elp	elpName	2
eaas_s4	ep_elp	createdBy	4
eaas_s4	ep_elp	modifiedDate	6
eaas_s4	ep_elp	lastModifiedBy	7
eaas_s4	ep_elp	isActive	8
eaas_s4	ep_elp_module_x	elpId	1
eaas_s4	ep_elp_module_x	moduleId	2
eaas_s4	ep_elp_module_x	type	3
eaas_s4	ep_elp_module_x	orderId	4
eaas_s4	ep_elp_module_x	tenantId	5
eaas_s4	ep_elp_module_x	status	6
eaas_s4	ep_elp_user_x	id	1
eaas_s4	ep_elp_user_x	elpId	2
eaas_s4	ep_elp_user_x	userAssociationId	3
eaas_s4	ep_elp_user_x	tenantId	4
eaas_s4	ep_elp_user_x	type	5
eaas_s4	ep_elp_user_x	assignedByUserId	6
eaas_s4	ep_elp_user_x	assignedDate	7
eaas_s4	ep_elp_user_x	status	9
eaas_s4	ep_elp_user_x	completionDate	10
eaas_s4	ep_est_cct_certifications	id	1
eaas_s4	ep_est_cct_certifications	CSCOId	2
eaas_s4	ep_est_cct_certifications	certCompletionDate	3
eaas_s4	ep_est_cct_certifications	certExpiryDate	4
eaas_s4	ep_est_cct_certifications	ep_user_id	5
eaas_s4	ep_est_cct_certifications	ep_learning_module_id	6
eaas_s4	ep_est_cct_certifications_old	id	1
eaas_s4	ep_est_cct_certifications_old	CSCOId	2
eaas_s4	ep_est_cct_certifications_old	certCompletionDate	3
eaas_s4	ep_est_cct_certifications_old	ep_learning_module_id	6
eaas_s4	ep_est_cct_stage	recordId	1
eaas_s4	ep_est_cct_stage	userName	2
eaas_s4	ep_est_cct_stage	CSCOId	3
eaas_s4	ep_est_cct_stage	programName	4
eaas_s4	ep_est_cct_stage	certCompleteDt	5
eaas_s4	ep_est_cct_stage	status	7
eaas_s4	ep_est_company_affiliations	vendorId	2
eaas_s4	ep_est_company_affiliations	affiliationName	3
